lr-AdamW/pg3,valid_loss_a,valid_loss,step,lr-AdamW/pg2,epoch,valid_loss_c,valid_collapse,lr-AdamW/pg1,valid_loss_t,train_loss,train_loss_a,train_loss_c,train_collapse,train_loss_t
,0.5124192237854004,1.2285579442977905,11927,,55,0.9299523234367371,0.2913017272949219,,0.5023252367973328,,,,,
,,,11927,,55,,,,,0.9388906955718994,0.1880306601524353,0.6670512557029724,0.6998983025550842,0.8346686363220215
0.0004888915186854892,,,11928,0.0004888915186854892,,,,0.0004888915186854892,,,,,,
,0.5267605781555176,1.2465909719467163,12140,,56,0.9372740983963013,0.2891801595687866,,0.5023866295814514,,,,,
,,,12140,,56,,,,,0.9370458722114563,0.1876489222049713,0.6653184294700623,0.7015793919563293,0.8334753513336182
0.000487455539917767,,,12141,0.000487455539917767,,,,0.000487455539917767,,,,,,
,0.5087816715240479,1.2288707494735718,12353,,57,0.9360338449478149,0.29214751720428467,,0.5041443109512329,,,,,
,,,12353,,57,,,,,0.9370602369308472,0.18841885030269623,0.6637491583824158,0.7014244794845581,0.8335336446762085
0.0004859348386127433,,,12354,0.0004859348386127433,,,,0.0004859348386127433,,,,,,
,0.5548456907272339,1.271138310432434,12566,,58,0.9332223534584045,0.2918376624584198,,0.49936309456825256,,,,,
,,,12566,,58,,,,,0.9361303448677063,0.18776965141296387,0.6637445688247681,0.7014840841293335,0.8329770565032959
0.0004843299955636359,,,12567,0.0004843299955636359,,,,0.0004843299955636359,,,,,,
,0.5525261759757996,1.2694549560546875,12779,,59,0.9331951141357422,0.2702563405036926,,0.5006627440452576,,,,,
,,,12779,,59,,,,,0.9386780261993408,0.1891855001449585,0.6647962927818298,0.7012049555778503,0.8341885805130005
0.0004826416236994631,,,12780,0.0004826416236994631,,,,0.0004826416236994631,,,,,,
,0.5690405368804932,1.2866662740707397,12992,,60,0.9355189204216003,0.2790081799030304,,0.49973264336586,,,,,
,,,12992,,60,,,,,0.9310532808303833,0.18701520562171936,0.6579911708831787,0.7035788297653198,0.8300847411155701
0.0004808703678509513,,,12993,0.0004808703678509513,,,,0.0004808703678509513,,,,,,
,0.555845320224762,1.2682373523712158,13205,,61,0.9269327521324158,0.30421674251556396,,0.49785134196281433,,,,,
,,,13205,,61,,,,,0.9366986751556396,0.189093679189682,0.6625616550445557,0.7007883191108704,0.8326482772827148
0.000479016904504259,,,13206,0.000479016904504259,,,,0.000479016904504259,,,,,,
,0.6049619913101196,1.319967269897461,13418,,62,0.9310478568077087,0.30009427666664124,,0.4989623725414276,,,,,
,,,13418,,62,,,,,0.934004545211792,0.18854668736457825,0.6603170037269592,0.7028064727783203,0.8305990099906921
0.0004770819415426088,,,13419,0.0004770819415426088,,,,0.0004770819415426088,,,,,,
,0.5748812556266785,1.2875847816467285,13631,,63,0.9245589375495911,0.28518733382225037,,0.5008482336997986,,,,,
,,,13631,,63,,,,,0.9322591423988342,0.18863393366336823,0.6580847501754761,0.7045313119888306,0.8291661143302917
0.0004750662179759304,,,13632,0.0004750662179759304,,,,0.0004750662179759304,,,,,,
,0.645578920841217,1.363145351409912,13844,,64,0.936586320400238,0.28139612078666687,,0.498546302318573,,,,,
,,,13844,,64,,,,,0.9341415166854858,0.1894768923521042,0.6591392159461975,0.7050051689147949,0.8301903605461121
0.00047297050365861413,,,13845,0.00047297050365861413,,,,0.00047297050365861413,,,,,,
,0.6106903553009033,1.32590913772583,14057,,65,0.9307288527488708,0.29876646399497986,,0.4997085928916931,,,,,
,,,14057,,65,,,,,0.9296799898147583,0.18835890293121338,0.6545605063438416,0.704967200756073,0.8280813694000244
0.0004707955989954847,,,14058,0.0004707955989954847,,,,0.0004707955989954847,,,,,,
,0.584608256816864,1.2946959733963013,14270,,66,0.9188882112503052,0.28414303064346313,,0.5012871623039246,,,,,
,,,14270,,66,,,,,0.9301915764808655,0.18876390159130096,0.6544708013534546,0.7048923373222351,0.8283848166465759
0.000468542334636107,,,14271,0.000468542334636107,,,,0.000468542334636107,,,,,,
,0.6058244109153748,1.3179192543029785,14483,,67,0.9258241057395935,0.2911466658115387,,0.4983656406402588,,,,,
,,,14483,,67,,,,,0.9281883835792542,0.188356414437294,0.6529960632324219,0.7052445411682129,0.8266676664352417
0.00046621157115754044,,,14484,0.00046621157115754044,,,,0.00046621157115754044,,,,,,
,0.6261630058288574,1.340193510055542,14696,,68,0.9298787713050842,0.2910643517971039,,0.49818217754364014,,,,,
,,,14696,,68,,,,,0.9294691681861877,0.18871323764324188,0.6536346673965454,0.7038900852203369,0.8278771638870239
0.0004638041987356635,,,14697,0.0004638041987356635,,,,0.0004638041987356635,,,,,,
,0.6527589559555054,1.3733981847763062,14909,,69,0.9385114908218384,0.2847324013710022,,0.5027667284011841,,,,,
,,,14909,,69,,,,,0.9295843243598938,0.1885361522436142,0.654148519039154,0.7031538486480713,0.8279476761817932
0.0004613211368051938,,,14910,0.0004613211368051938,,,,0.0004613211368051938,,,,,,
,0.6710342764854431,1.380556583404541,15122,,70,0.9194530844688416,0.27717193961143494,,0.499591588973999,,,,,
,,,15122,,70,,,,,0.9276186227798462,0.18821638822555542,0.651917576789856,0.7047004103660583,0.8268868327140808
0.0004587633337085332,,,15123,0.0004587633337085332,,,,0.0004587633337085332,,,,,,
,0.6524080038070679,1.3574568033218384,15335,,71,0.9151432514190674,0.28026407957077026,,0.49495455622673035,,,,,
,,,15335,,71,,,,,0.9260433912277222,0.18744152784347534,0.6509058475494385,0.7043541073799133,0.8262981176376343
0.00045613176633357237,,,15336,0.00045613176633357237,,,,0.00045613176633357237,,,,,,
,0.6570580005645752,1.3669320344924927,15548,,72,0.9232339262962341,0.2817956209182739,,0.496514230966568,,,,,
,,,15548,,72,,,,,0.9234523773193359,0.18697349727153778,0.6483123302459717,0.7052164673805237,0.8246452808380127
0.0004534274397405938,,,15549,0.0004534274397405938,,,,0.0004534274397405938,,,,,,
,0.6565009355545044,1.3675487041473389,15761,,73,0.9259335994720459,0.29230165481567383,,0.4961618185043335,,,,,
,,,15761,,73,,,,,0.926104724407196,0.18800200521945953,0.650205671787262,0.7034648060798645,0.8259997367858887
0.00045065138677841414,,,15762,0.00045065138677841414,,,,0.00045065138677841414,,,,,,
,0.6665104627609253,1.3828763961791992,15974,,74,0.9321890473365784,0.2947234809398651,,0.5005427598953247,,,,,
,,,15974,,74,,,,,0.9254539608955383,0.18761901557445526,0.6497838497161865,0.7034998536109924,0.8258858919143677
0.000447804667689914,,,15975,0.000447804667689914,,,,0.000447804667689914,,,,,,
,0.6704060435295105,1.3808019161224365,16187,,75,0.922829270362854,0.2891139090061188,,0.49796250462532043,,,,,
,,,16187,,75,,,,,0.9233686923980713,0.18742987513542175,0.6470279693603516,0.7050315141677856,0.8248497843742371
0.00044488836970710483,,,16188,0.00044488836970710483,,,,0.00044488836970710483,,,,,,
,0.6696319580078125,1.3853288888931274,16400,,76,0.9305140972137451,0.2814505696296692,,0.5008795857429504,,,,,
,,,16400,,76,,,,,0.922694742679596,0.1869053691625595,0.6471501588821411,0.7034987211227417,0.8244287371635437
0.000441903606635889,,,16401,0.000441903606635889,,,,0.000441903606635889,,,,,,
,0.6367532014846802,1.351042628288269,16613,,77,0.9274824261665344,0.2728510797023773,,0.5010964274406433,,,,,
,,,16613,,77,,,,,0.9117414951324463,0.18424300849437714,0.637298583984375,0.7051500082015991,0.817698061466217
0.00043885151843066914,,,16614,0.00043885151843066914,,,,0.00043885151843066914,,,,,,
,0.6436388492584229,1.3578075170516968,16826,,78,0.927730917930603,0.2734399735927582,,0.5006064772605896,,,,,
,,,16826,,78,,,,,0.920128345489502,0.18612945079803467,0.6450909376144409,0.7039041519165039,0.8229065537452698
0.0004357332707589719,,,16827,0.0004357332707589719,,,,0.0004357332707589719,,,,,,
,0.679611325263977,1.392970323562622,17039,,79,0.9263404607772827,0.2765170633792877,,0.5003772974014282,,,,,
,,,17039,,79,,,,,0.9109590649604797,0.18332932889461517,0.6377028822898865,0.704273521900177,0.8175567388534546
0.00043255005455625087,,,17040,0.00043255005455625087,,,,0.00043255005455625087,,,,,,
,0.6683927178382874,1.3774104118347168,17252,,80,0.9233556985855103,0.2783701717853546,,0.49467992782592773,,,,,
,,,17252,,80,,,,,0.9180232882499695,0.1851700395345688,0.6437804698944092,0.7024630308151245,0.8219262361526489
0.0004293030855710391,,,17253,0.0004293030855710391,,,,0.0004293030855710391,,,,,,
,0.6932551860809326,1.4019310474395752,17465,,81,0.9218212962150574,0.2987824082374573,,0.4955306649208069,,,,,
,,,17465,,81,,,,,0.9163739085197449,0.18499962985515594,0.6420628428459167,0.7033907771110535,0.8206858038902283
0.00042599360390062466,,,17466,0.00042599360390062466,,,,0.00042599360390062466,,,,,,
,0.6831777691841125,1.395294427871704,17678,,82,0.9249365329742432,0.2831738591194153,,0.4992966055870056,,,,,
,,,17678,,82,,,,,0.9195860624313354,0.18587598204612732,0.6440936326980591,0.701038658618927,0.8233266472816467
0.0004226228735174271,,,17679,0.0004226228735174271,,,,0.0004226228735174271,,,,,,
,0.6888567805290222,1.401673436164856,17891,,83,0.927130937576294,0.2800239026546478,,0.49850258231163025,,,,,
,,,17891,,83,,,,,0.9168440699577332,0.18509280681610107,0.6420116424560547,0.7010475397109985,0.8214908242225647
0.0004191921817862553,,,17892,0.0004191921817862553,,,,0.0004191921817862553,,,,,,
,0.6899188756942749,1.3955706357955933,18104,,84,0.9170660376548767,0.27497628331184387,,0.49423742294311523,,,,,
,,,18104,,84,,,,,0.913841962814331,0.1840275526046753,0.6398445963859558,0.7018056511878967,0.81978440284729
0.00041570283897263117,,,18105,0.00041570283897263117,,,,0.00041570283897263117,,,,,,
,0.646614134311676,1.3515619039535522,18317,,85,0.914531409740448,0.285397469997406,,0.4953639507293701,,,,,
,,,18317,,85,,,,,0.9141154885292053,0.18386495113372803,0.6401168704032898,0.7030622363090515,0.8203842043876648
0.00041215617774236694,,,18318,0.00041215617774236694,,,,0.00041215617774236694,,,,,,
