lr-AdamW/pg2,step,valid_collapse,valid_loss_t,lr-AdamW/pg1,valid_loss,lr-AdamW/pg3,epoch,valid_loss_c,valid_loss_a,train_collapse,train_loss_t,train_loss,train_loss_c,train_loss_a
,31949,,,,,,74,,,0.4707712233066559,0.8132769465446472,0.8011490106582642,0.6278578639030457,0.0805814117193222
0.00044730422046723544,31950,,,0.00044730422046723544,,0.00044730422046723544,,,,,,,,
,32375,0.22437722980976105,0.7722153067588806,,0.9422388672828674,,75,0.8618000149726868,0.1252312958240509,,,,,
,32375,,,,,,75,,,0.47157126665115356,0.8147083520889282,0.8029245734214783,0.6289694905281067,0.081085704267025
0.00044436903853250283,32376,,,0.00044436903853250283,,0.00044436903853250283,,,,,,,,
,32801,0.22135479748249054,0.7641931772232056,,0.9299678802490234,,76,0.8456200957298279,0.12506119906902313,,,,,
,32801,,,,,,76,,,0.473034143447876,0.8139201402664185,0.8021271228790283,0.6283648610115051,0.0809849351644516
0.0004413652697399763,32802,,,0.0004413652697399763,,0.0004413652697399763,,,,,,,,
,33227,0.2120206356048584,0.7810834646224976,,0.9553478956222534,,77,0.876018762588501,0.12679679691791534,,,,,
,33227,,,,,,77,,,0.4744577705860138,0.8133057355880737,0.8008544445037842,0.6268994808197021,0.08075200021266937
0.00043829406668229466,33228,,,0.00043829406668229466,,0.00043829406668229466,,,,,,,,
,33653,0.2221352458000183,0.7767895460128784,,0.9502723217010498,,78,0.8697371482849121,0.12700912356376648,,,,,
,33653,,,,,,78,,,0.4755968749523163,0.812376081943512,0.8005523681640625,0.6269994378089905,0.08086466789245605
0.0004351566078276691,33654,,,0.0004351566078276691,,0.0004351566078276691,,,,,,,,
,34079,0.2203301340341568,0.780657947063446,,0.9536350965499878,,79,0.8742356300354004,0.12618838250637054,,,,,
,34079,,,,,,79,,,0.4777663052082062,0.8113007545471191,0.7985090017318726,0.6246216297149658,0.08054760098457336
0.00043195409706768713,34080,,,0.00043195409706768713,,0.00043195409706768713,,,,,,,,
,34505,0.21757999062538147,0.7718004584312439,,0.9387589693069458,,80,0.8576503992080688,0.12403354048728943,,,,,
